exp_id,subject_id,cre_line,depth,num_seqs,num_ROIs,num_timepoints
506540916,228786,Rorb-IRES2-Cre,275,628,60,56746
637126541,339814,Ntsr1-Cre_GN220,550,628,23,56616
546716391,260936,Emx1-IRES-Cre,375,628,160,56603
510214538,228786,Rorb-IRES2-Cre,275,628,284,56615
662033243,361635,Slc17a7-IRES2-Cre,375,628,151,58247
502608215,225037,Cux2-CreERT2,275,628,318,56748
560578599,277933,Nr5a1-Cre,350,628,63,56748
686441799,377151,Rorb-IRES2-Cre,275,628,100,56760
614571626,336243,Vip-IRES-Cre,175,628,20,56760
704298735,382421,Cux2-CreERT2,175,628,95,56629
605859367,324178,Slc17a7-IRES2-Cre,175,628,41,58285
605688822,321822,Sst-IRES-Cre,375,628,4,56765
663479824,360906,Vip-IRES-Cre,275,628,10,56616
647603932,351663,Rbp4-Cre_KL100,375,628,29,58246
527048992,244884,Rorb-IRES2-Cre,275,628,211,56627
597028938,315123,Sst-IRES-Cre,375,628,12,56615
605883133,323982,Ntsr1-Cre_GN220,550,628,37,56751
569718097,284418,Rorb-IRES2-Cre,275,628,32,56760
626027944,336246,Vip-IRES-Cre,275,628,5,56764
581153070,300424,Sst-IRES-Cre,250,628,26,56749
510917254,234584,Rbp4-Cre_KL100,375,628,61,56611
657915168,360902,Vip-IRES-Cre,175,628,22,58280
644947716,347748,Slc17a7-IRES2-Cre,175,628,44,56629
556665481,271727,Nr5a1-Cre,350,628,3,56612
560926639,276947,Emx1-IRES-Cre,175,628,105,58263
509580400,232623,Rorb-IRES2-Cre,275,628,17,56757
571177441,283278,Cux2-CreERT2,175,628,88,56766
712919665,382423,Cux2-CreERT2,275,628,22,56765
653932505,355474,Slc17a7-IRES2-Cre,375,628,261,58279
653551965,355536,Slc17a7-IRES2-Cre,175,628,49,56755
574823092,296702,Emx1-IRES-Cre,175,628,127,56769
662219852,361635,Slc17a7-IRES2-Cre,375,628,83,58255
592407200,301125,Rbp4-Cre_KL100,375,628,21,56611
643592303,344179,Fezf2-CreER,375,628,54,58294
592657427,308148,Cux2-CreERT2,175,628,69,56756
503109347,225036,Cux2-CreERT2,275,628,353,56625
560027980,279437,Nr5a1-Cre,350,628,12,56756
609894681,327595,Sst-IRES-Cre,375,628,7,56619
647595671,348105,Ntsr1-Cre_GN220,550,628,97,56608
511595995,234584,Rbp4-Cre_KL100,375,628,88,56613
654532828,352471,Rorb-IRES2-Cre,275,628,95,56752
657914280,360565,Cux2-CreERT2,175,628,84,58282
670728674,369495,Pvalb-IRES-Cre,225,628,18,58287
664914611,365253,Slc17a7-IRES2-Cre,375,628,35,58282
644051974,344122,Rbp4-Cre_KL100,375,628,18,58264
652737867,355468,Slc17a7-IRES2-Cre,175,628,127,58284
557615965,266396,Nr5a1-Cre,300,628,8,56607
703308071,385254,Slc17a7-IRES2-Cre,375,628,93,56780
652094917,354074,Cux2-CreERT2,275,628,62,58247
642278925,340849,Sst-IRES-Cre,275,628,14,58267
566458505,284669,Emx1-IRES-Cre,175,628,105,56615
596584192,309152,Emx1-IRES-Cre,275,628,315,56766
580095647,296708,Emx1-IRES-Cre,175,628,209,56626
531134090,246775,Scnn1a-Tg3-Cre,335,628,53,56742
639251932,340854,Sst-IRES-Cre,375,628,11,56765
612536911,325932,Slc17a7-IRES2-Cre,175,628,45,56628
564607188,276949,Emx1-IRES-Cre,175,628,133,56615
550851591,265164,Rorb-IRES2-Cre,275,628,87,56757
669861524,373760,Pvalb-IRES-Cre,275,628,10,58287
675477919,373762,Pvalb-IRES-Cre,200,628,10,56624
506773892,229105,Cux2-CreERT2,175,628,76,56614
679700458,372079,Slc17a7-IRES2-Cre,275,628,92,56622
550490398,261969,Nr5a1-Cre,350,628,37,56756
613599811,334309,Slc17a7-IRES2-Cre,175,628,56,58275
590168385,305467,Rorb-IRES2-Cre,275,628,157,56755
571137446,288600,Rbp4-Cre_KL100,375,628,48,56785
637671554,340430,Tlx3-Cre_PL56,375,628,171,56759
557304694,268773,Cux2-CreERT2,175,628,79,56614
595263154,309152,Emx1-IRES-Cre,375,628,221,56752
652092676,350249,Vip-IRES-Cre,275,628,24,56746
552410386,268773,Cux2-CreERT2,175,628,85,56618
593270603,309152,Emx1-IRES-Cre,275,628,297,56748
657389972,355670,Vip-IRES-Cre,275,628,4,56753
584196534,296462,Sst-IRES-Cre,375,628,13,56617
